LINE, REF, QTY, EPCCS TYP,EPCCS PN,MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUno Board,,,TOTAL,
,,,,,,11/7/17 (14140^8),,,=SUM(J5:J100),
,,,,,,,,,,
1,,=1/3,BOARD,OSHPARK,,PCB 2 LAYER ENIG 3 COPY,(),37.70,=C5*I5,RPUNO
,,,,,,,,,,
,,,,,,NOTES,,,,

